day,date,service_type,line,min_delay
Saturday,2023-01-14T22:57:00Z,Regular,504,10
Saturday,2023-01-15T00:26:00Z,Regular,506,14
Saturday,2023-01-15T00:26:00Z,Regular,505,6
Saturday,2023-01-15T00:56:00Z,Regular,501,9
Saturday,2023-01-15T01:15:00Z,Regular,504,10
Saturday,2023-01-15T02:13:00Z,Regular,501,10
Saturday,2023-01-15T03:04:00Z,Regular,501,37
Saturday,2023-01-15T03:08:00Z,Regular,501,10
Saturday,2023-01-15T03:37:00Z,Regular,506,10
Saturday,2023-01-15T04:18:00Z,Regular,501,10
Saturday,2023-01-15T04:31:00Z,Regular,501,15
Saturday,2023-01-14T05:46:00Z,Regular,504,33
Sunday,2023-01-15T07:00:00Z,Regular,504,32
Sunday,2023-01-15T07:29:00Z,Regular,504,25
Sunday,2023-01-15T07:50:00Z,Regular,504,13
Sunday,2023-01-15T07:57:00Z,Regular,510,45
Sunday,2023-01-15T08:38:00Z,Night,301,27
Sunday,2023-01-15T09:55:00Z,Regular,504,15
Sunday,2023-01-15T10:04:00Z,Regular,504,15
Sunday,2023-01-15T13:19:00Z,Regular,505,10
Sunday,2023-01-15T17:40:00Z,Regular,501,7
Sunday,2023-01-15T18:26:00Z,Regular,509,5
Sunday,2023-01-15T18:54:00Z,Regular,512,14
Sunday,2023-01-15T20:04:00Z,Regular,501,7
Sunday,2023-01-15T21:41:00Z,Regular,506,9
Sunday,2023-01-15T22:13:00Z,Regular,501,7
Sunday,2023-01-15T22:20:00Z,Regular,506,17
Sunday,2023-01-15T23:09:00Z,Regular,506,23
Sunday,2023-01-15T23:35:00Z,Regular,510,8
Sunday,2023-01-16T01:55:00Z,Regular,510,16
Sunday,2023-01-16T02:09:00Z,Regular,504,25
Sunday,2023-01-16T02:39:00Z,Regular,501,136
Sunday,2023-01-16T04:55:00Z,Regular,510,10
Sunday,2023-01-15T05:00:00Z,Regular,501,10
Monday,2023-01-16T07:04:00Z,Regular,510,15
Monday,2023-01-16T09:44:00Z,Regular,504,9
Monday,2023-01-16T11:40:00Z,Regular,512,6
Monday,2023-01-16T11:53:00Z,Regular,505,8
Monday,2023-01-16T12:13:00Z,Regular,509,10
